title;abstract;journal;volume
10000-Ignition-Cycle Investigation of a LaB6 Hollow Cathode for 3–5-Kilowatt Hall Thruster;In this Paper a newly designed heaterless LaB6 hollow cathode is studied for 10 000 ignition cycles. The current-voltage characteristics and upstream pressure of the hollow cathode are monitored during this procedure  and a destructive analysis is made after 10 000 ignition cycles. It is found that by using a high-voltage cold ignition approach and an arc discharge mode for heating the performance of this hollow cathode is stable. The anode voltage varies within 4 V during the test  and the downstream end of the emitter and that of the orificed cathode plate are chamfered slightly. The dominant reasons for the reduction of ignition erosion and for the stable performance of the device are analyzed;JPP;35.1
Analytical Approach for Study of Transient Performance of Thermoelectric Coolers;A solid-state thermoelectric device uses the Peltier effect to create a heat flux differential between the junctions of two different types of materials. By applying electrical energy  a thermoelectric cooler can transport heat from the cool side of the device to the heat sink. The purpose of this paper is to develop an analytical tool that can be readily implemented by design engineers in the field of thermoelectric cooler technology. The relatively complicated partial differential equation governing energy transport within the semiconductor elements is reduced to a conventional heat diffusion equation with the aid of a special function and then solved analytically using the integral-transformation technique. The temperature distributions within the semiconductor elements  the Seebeck effect  the thermal conductivity  the cooling load  and the system coefficient of performance for a thermoelectric cooler are determined and analyzed. The transient behavior of a thermoelectric cooler can be used as an optimization tool for various design configurations in meeting specific packaging requirements.;JTHT;33.1
Boundary-Layer Characteristics of Compressible Flow past a Heated Cylinder with Viscous Dissipation;We investigate the flow and heat transfer characteristics of compressible boundary-layer flow past a heated cylinder are investigated  taking into account the effect of viscous dissipation. The governing equations of the compressible boundary layer are reduced to a convenient form for integration introducing suitable dimensionless variables. The resulting equations are then solved numerically using the finite difference method for all time  the perturbation method for short time  and the asymptotic method for long time. For different values of the Mach number 𝑀0 and the surface temperature parameter 𝛼  the numerical solutions are demonstrated to show how the local shear stress and the rate of heat transfer at the surface of the cylinder are affected by these parameters. The influences of those parameters on the streamlines and isotherms are also presented here.;JTHT;33.1
Aluminum Combustion Can Drive Instabilities in Solid Rocket Motors: T-Burner Study;This paper reports experimental and numerical works devoted to the role of aluminum combustion on the stability of solid rocket motors. An experimental setup  known as the velocity-coupled T-burner  which provides measurements of the contribution of aluminum combustion to stability  has been developed and used. Experiments unambiguously show that aluminized propellants have a strong destabilizing contribution  whereas nonaluminized do not. This destabilizing behavior is found to depend much on aluminum agglomerate size distribution. In addition  two-phase numerical simulations are conducted on the setup and confirm experiments. It is found that the instability arises due to a thermoacoustic coupling between pressure waves and the heat release from aluminum combustion. Simulations also stress the role of aluminum agglomerate particle size as in experiments. This work experimentally and numerically proves that aluminum combustion represents a source of instability in solid rockets that should not be overlooked. This suggests that the widely accepted viewpoint that particle phase always damps pressure waves may not be always true for some aluminized propellants.;JPP;35.1
Ballistic Performance of Paraffin-Based Solid Fuels Enhanced by Catalytic Polymer Degradation;Hybrid propellants are of great interest in space propulsion  but their use has been limited due to the low burning rate of their solid fuel. The use of paraffin was a breakthrough  but these grains exhibit excessive brittleness. Recently  it was proposed that the application of paraffin particles agglutinated by a polymer matrix eliminates these issues  but the high temperatures of the binder degradation still impose a limiting factor to the propulsive performance. In the present work  this challenge is overcome by employing a metallic complex as catalyst that selectively lowers the temperature of the polymer degradation  increasing the compatibility between binder and paraffin. For hydroxyl-terminated polybutadiene (HTPB) degradation  Cu  Ni  Co  and Cr acetylacetonate complexes demonstrated catalytic effects in high temperatures  whereas copper acetylacetonate stood out in lower temperatures. Test fires allowed determining the regression rate by using the weight loss method and comparing with the data available in the literature  in which paraffin and HTPB grains set the highest and the lowest limits  respectively. The addition of paraffin particles to HTPB showed some enhancement  while the inclusion of the copper catalyst substantially improved the regression rate  suggesting this fuel grain as a promising alternative for hybrid rocket motors.;JPP;35.1
Burning Rates of Nanoaluminum–Water Solid Propellants at Various Pressures;"The burning rates of solid propellants comprising different nanoaluminum powders and distilled water were examined at pressurized conditions up to 𝑃=7.5MPa. Several aluminum powders were tested using a strand burner technique: uncoated nanopowder (ALEX)  stearic-acid coated nanopowder (L-ALEX)  Viton-coated nanopowder (V-ALEX) with two different particle sizes  and bimodal mixture of V-ALEX and micrometer-size powders. Propellants containing ALEX  L-ALEX  and bimodal compositions followed the power law relation throughout the pressure range  with pressure exponents of 𝑛=0.34  0.5  and 0.28  respectively. Propellants containing V-ALEX powder demonstrated two different regimes: at pressures lower than 1.8 MPa  the burning rates were constant with respect to pressure; whereas for higher pressures  the burning rates followed the power law relation with 𝑛=0.68 and 𝑛=0.81 for powder diameters of 60 and 100 nm  respectively. The combustion efficiency  defined as the fraction of aluminum that oxidized during combustion  showed high values (90–95%) for all tested compositions.";JPP;35.1
Characterization of the Hypergolic Ignition Delay of Ammonia Borane;Hypergolic hybrid motors have the potential to improve the safety  reliability  and versatility of rocket systems. They may also serve as a viable replacement for highly toxic liquid fuels (for example  hydrazine  monomethyl hydrazine  etcetera) conventionally used in hypergolic systems. Ammonia borane (AB)-based fuels are relatively nontoxic hydrogen-dense solids that have good theoretical performance. AB has also been found to be highly hypergolic with white fuming nitric acid (WFNA)  potentially enabling it to replace existing toxic hypergolic fuels. In this work  hypergolic ignition delay tests were performed on AB synthesized with a novel water-promoted scalable process to characterize its performance as a hypergolic fuel. Typical ignition delays with WFNA were found here to be approximately 2–10 ms. Ignition delay tests performed with AB powder sieved into different particle size ranges indicated a particle size dependency for the ignition delay  with the finer AB particles (𝐷<45𝜇m) igniting after shorter delays. AB was successfully incorporated into Sylgard®-184  which is a silicone elastomer binder  and ignition delay tests were performed on high solids loading (80%) Sylgard-184-AB pellets. Mean ignition delays for the Sylgard-184-AB fuel pellets tested were less than 50 ms  which may make the formulation viable for use in hypergolic hybrid motors.;JPP;35.1
Combustible Boundary-Layer Flows Along Inclined Hot Surfaces with Streamwise Surface Temperature Variations;This paper investigates how the streamwise surface temperature variations modify the combustible boundary-layer flows along inclined hot surfaces. The governing equations for reacting boundary-layer flows under natural convection are reduced to a system of dimensionless equations. These equations have been solved using the finite difference method. Numerical results demonstrate that the momentum  thermal  and concentration boundary layers significantly increase owing to the increase of the angle of inclination. It is found from the isotherms that there develops a near-wall layer embedded within the main boundary layer. This maintains an overall thickness for higher values of the streamwise distance. Because of the increase of the amplitude of oscillation  the thermal and concentration boundary layers become thick while the momentum boundary layer becomes thin. In addition  the wall shear stress and the rate of heat transfer are found to increase for increasing values of the amplitude of oscillation.;JTHT;33.1
Compact Scheme Based on the SIMPLER Algorithm for Steady Incompressible Flow Problems;A new compact scheme based on the SIMPLER algorithm is developed for solving steady flow problems on three different coordinate systems. The compact corrective source term based on a compact and upwind formulation can be calculated by a deferred correction technique. The developed method is used to simulate some typical steady flow problems  including lid-driven flow  fully developed flow in a pipe  and channel flow with multiple obstacles. There are good agreements between the present results for coarser grids and the benchmark solutions. The numerical results indicate that the compact scheme is an efficient method for solving flow problem and has higher-order accuracy.;JTHT;33.1
Computational Study of Combustor Dilution Flow Interaction with Turbine Vanes;Higher efficiency and greater performance in gas-turbine engines can be achieved by increasing the combustion temperature but is limited by durability concerns for downstream hardware. Large-scale dilution cooling flows can be injected in the combustor to promote mixing and reduce incoming temperatures  but this generates spatial and temporal nonuniformities for the first row of turbine vanes. The lack of uniformity is exacerbated as combustor designs are reduced in length to reduce overall engine weight  but little is known about how the vane surface conditions are affected. This work computationally modeled the flow in a previously studied nonreacting combustor simulator  using both time-average (steady Reynolds-averaged Navier–Stokes  RANS) and time-dependent (delayed detached-eddy simulation  DDES) analyses. The effect of several dilution hole configurations on the adiabatic wall temperature and heat transfer coefficient of the first vane were studied in the time-average approach. Configurations in which the dilution jets were closer to the vane resulted in some vane surface cooling but also significant flow nonuniformity at the turbine inlet  high vane temperature gradients  and increased heat flux to the vane. Heat transfer coefficient augmentation on the vane pressure side was more than three times higher than without upstream dilution  for dilution jets close to the vane. The time-dependent DDES analysis predicted a larger degree of mixing and more uniform vane temperatures  relative to the RANS analysis  but also indicated anisotropy of the turbulence entering the turbine  which cannot be correctly captured by a RANS approach. Refinement of the time-dependent analysis in a region around the dilution jets did not significantly change the turbine inlet flowfield and had only a minor impact on the predicted vane surface temperature. Overall  the results indicate that nonuniform flow in the combustor can significantly impact vane temperature but should be modeled using scale-resolving simulations for best accuracy.;JPP;35.1
